codigoParroquia;nombreParroquia;idCanton
198;GENERAL VILLAMIL (PLAYAS) ;157
199;GIL RAMÍREZ DÁVALOS;01
200;GIRÓN ;16
201;GONZÁLEZ SUÁREZ;105
202;GONZALO PIZARRO;145
203;GONZANAMÁ ;184
204;GUACHAPALA ;57
205;GUADALUPE;29
206;GUALACEO ;10
207;GUALAQUIZA ;27
208;GUALEA;04
209;GUAMOTE ;125
210;GUANO ;132
211;GUANUJO;47
212;GUAPAN;30
213;GUARANDA  ;47
214;GUASAGANDA (CAB. EN GUASAGANDA CENTRO);117
215;GUASUNTOS;130
216;GUAYACÁN;71
217;GUAYAQUIL ;05
218;GUAYLLABAMBA;04
219;GUAYZIMI;180
220;GUIZHAGUIÑA;69
221;HATUN SUMAKU;153
222;HERMANO MIGUEL;01
223;HONORATO VASQUEZ (CAB EN VASQUEZ);199
224;HUACA ;111
225;HUACHI CHICO;42
226;HUACHI GRANDE;42
227;HUACHI LORETO;42
228;HUALTACO;17
229;HUAMBI;21
230;HUAQUILLAS ;17
231;HUAYNACÁPAC;01
232;HUIGRA;130
233;IGNACIO FLORES (PARQUE FLORES);70
234;IGNACIO FLORES (PARQUE FLORES) ;70
235;IMBAYA (SAN LUIS DE COBUENDO);113
236;INDANZA;06
237;INÉS ARANGO (CAB. EN WESTERN);31
238;INGAPIRCA;56
239;ISINLIVI;116
240;ISLA DE BEJUCAL;186
241;ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA);95
242;IZAMBA;42
243;JADÁN;10
244;JAMA ;134
245;JAMBELÍ;133
246;JARAMIJÓ ;197
247;JAVIER LOYOLA (CHUQUIPATA);30
248;JESUS MARIA;13
249;JIJÓN Y CAAMAÑO (CAB. EN RÍO BLANCO);177
250;JIPIJAPA ;72
251;JORDÁN;112
252;JOSE LUIS TAMAYO (MUEY);25
253;JUAN DE VELASCO (PANGOR);131
254;JUAN GOMEZ RENDON (PROGRESO);05
255;JUAN MONTALVO;55
256;JUAN MONTALVO (SAN SEBASTIÁN);70
257;JULIO ANDRADE (OREJUELA);105
258;JUNÍN;198
259;LA ASUNCION;16
260;LA AURORA (SATÉLITE);161
261;LA BOCANA;88
262;LA BONITA;115
263;LA CONCORDIA ;84
264;LA DOLOROSA DEL PRIORATO;18
265;LA ESPERANZA;18
266;LA IBERIA;142
267;LA JOYA DE LOS SACHAS ;14
268;LA LIBERTAD ;101
269;LA MANÁ ;117
270;LA MATRIZ;70
271;LA MERCED;42
272;LA PAZ;45
273;LA PENÍNSULA;42
274;LA PROVIDENCIA;39
275;LA PUNTILLA (SATÉLITE);50
276;LA SUSAYA;88
277;LA TOLA;155
278;LA TRONCAL ;38
279;LA UNION;106
280;LA VICTORIA;118
281;LA VICTORIA ;148
282;LAS NAVES (RURAL);90
283;LATACUNGA ;70
284;LEONIDAS PLAZA GUTIÉRREZ;73
285;LETAMENDI;05
286;LIMONCOCHA;44
287;LIZARZABURU;54
288;LLACAO;01
289;LLANO CHICO;04
290;LLIGUA;91
291;LLOA;04
292;LOGROÑO ;24
293;LOJA ;26
294;LOMAS DE SARGENTILLO;176
295;LORETO ;83
296;LOS ANDES (CAB EN POATUG);202
297;LOS ENCUENTROS;99
298;LOS ESTEROS;28
299;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);161
300;LUIS CORDERO;30
301;LUIS TELLO  (LAS PALMAS);93
302;LUIS VARGAS TORRES (CAB EN PLAYA DE ORO);155
303;LUMBAQUÍ ;145
304;LUZ DE AMÉRICA;53
305;MACARÁ ;141
306;MACARÁ (MANUEL ENRIQUE RENGEL SUQUILANDA);141
307;MACAS ;08
308;MACHACHI ;60
309;MACHALA ;39
310;MACHALILLA;43
311;MACHÁNGARA;01
312;MADRE TIERRA;98
313;MALACATOS (VALLADOLID);26
314;MALCHINGUI;179
315;MALDONADO;54
316;MALIMPIA;106
317;MANGLARALTO;03
318;MANTA ;28
319;MANUEL CORNEJO ASTORGA (TANDAPI);60
320;MARCABELI ;144
321;MARIANO MORENO;10
322;MATRIZ;42
323;MERA;98
324;MERCEDES MOLINA;27
325;MILAGRO ;79
326;MILTON REYES;17
327;MINDO;108
328;MIRA (CHONTAHUASI) ;177
329;MOCACHE ;194
330;MOCHA ;208
331;MONAY;01
332;MONTALVO;42
333;MONTALVO ;164
334;MONTALVO (ANDOAS);11
335;MONTALVO (ANDOAS) ;11
336;MONTECRISTI;107
337;MORASPUNGO;119
338;MOROMORO (CAB. EN EL VADO);88
339;MORRO;05
340;MUISNE ;66
341;MULALÓ;70
342;MULLIQUINDIL (SANTA ANA);120
343;MULTITUD;130
344;NABON ;61
345;NANEGAL;04
346;NANEGALITO;04
347;NARANJAL ;13
348;NARANJITO ;103
349;NARCISA DE JESUS ;175
350;NAYÓN;04
351;NICOLÁS INFANTE DÍAZ;71
352;NONO;04
353;NUEVA LOJA ;75
354;NUEVE DE MAYO;39
355;NUEVE DE OCTUBRE;05
356;NUEVO PARAISO (CAB. EN UNION );31
357;NUEVO ROCAFUERTE;128
358;NULTI;01
359;OCHOA LEÓN (MATRIZ);15
360;OLMEDO ;188
361;OLMEDO (SAN ALEJO);05
362;OÑA SAN FELIPE DE OÑA ;34
363;OTAVALO ;112
364;OYACACHI;22
365;PABLO ARENAS;109
366;PABLO SEXTO ;96
367;PACAYACU;75
368;PACCHA;01
369;PACHICUTZA;127
370;PACTO;04
371;PAJÁN ;62
372;PALANDA ;191
373;PALENQUE;205
374;PALLATANGA ;137
375;PALMA ROJA;110
376;PALMALES;74
377;PALORA (METZERA) ;32
378;PANO;07
379;PANSALEO;120
380;PAPALLACTA;121
381;PAQUISHA;209
382;PASAJE ;15
383;PASCUALES;05
384;PATATE ;202
385;PAUTE ;35
386;PEDERNALES ;52
387;PEDREGAL;60
388;PEDRO CARBO ;163
389;PEDRO VICENTE MALDONADO ;65
390;PELILEO ;139
391;PENIPE ;204
392;PEÑAHERRERA;94
393;PICAIGUA;42
394;PICOAZÁ;85
395;PIFO;04
396;PILAGUIN (PILAHUIN);42
397;PÍLLARO ;58
398;PIMAMPIRO;178
399;PINDAL ;151
400;PINTAG;04
401;PIÑAS ;88
402;PISHILATA;42
403;PISTISHI (NARIZ DEL DIABLO);130
404;POMASQUÍ;04
405;PORTOVELO ;147
406;PORTOVIEJO ;85
407;PRESIDENTE URBINA (CHAGRAPAMBA PATZUCUL);58
408;PROGRESO;15
409;PUCARÁ ;59
410;PUEBLOVIEJO ;195
411;PUÉLLARO;04
412;PUEMBO;04
413;PUERTO AYORA ;33
414;PUERTO BAQUERIZO MORENO ;95
415;PUERTO BOLÍVAR;39
416;PUERTO BOLÍVAR (PUERTO MONTÚFAR);110
417;PUERTO DE CAYO;72
418;PUERTO EL CARMEN DEL PUTUMAYO ;110
419;PUERTO FRANCISCO DE ORELLANA (EL COCA) ;31
420;PUERTO JELÍ;133
421;PUERTO LIBRE;145
422;PUERTO LÓPEZ ;43
423;PUERTO MISAHUALLI;07
424;PUERTO NAPO;07
425;PUERTO QUITO ;36
426;PUERTO VILLAMIL ;49
427;PUJILÍ ;118
